dt,country,terrorism_insurgency,war_military_conflict,regional_disintegration,financial_sanctions,trade_disputes,cyber_warfare,energy_resource_conflicts,global_governance,nuclear_proliferation,territorial_disputes,other,TOTAL
01/01/2000,DE,0,0.338409475,0.084602369,0.338409475,0.846023689,0.084602369,0.846023689,0.76142132,0.084602369,0,0.676818951,4.060913706
01/02/2000,DE,0,0.685871056,0.342935528,0.342935528,0.480109739,0.480109739,0.548696845,0.754458162,0,0.137174211,0.205761317,3.978052126
01/03/2000,DE,0,0.765957447,0.085106383,0.085106383,0.425531915,0,1.361702128,1.872340426,0.425531915,0.085106383,0.765957447,5.872340426
01/04/2000,DE,0.087412587,0.34965035,0.087412587,0.174825175,1.136363636,0.174825175,1.136363636,1.573426573,0.174825175,0,0.524475524,5.41958042
01/05/2000,DE,0.218499636,0.145666424,0.655498908,0,0.728332119,0.218499636,0.582665696,0.436999272,0.072833212,0,0.582665696,3.641660597
01/06/2000,DE,0.170357751,0.766609881,0.511073254,0.170357751,0.511073254,0,1.533219761,0.511073254,0.255536627,0.085178876,0.681431005,5.195911414
01/07/2000,DE,0,0.494559842,0,0.395647873,0.692383778,0,0.296735905,0.890207715,0.296735905,0,0.098911968,3.165182987
01/08/2000,DE,0.239808153,0.239808153,0,0,0.839328537,0,1.199040767,0.239808153,0.119904077,0.119904077,0.35971223,3.357314149
01/09/2000,DE,0.169491525,0.677966102,0.338983051,0.169491525,0.338983051,0,4.915254237,0.508474576,0.338983051,0,1.525423729,8.983050847
01/10/2000,DE,0.362318841,0,0,0.18115942,0.18115942,0,1.630434783,1.630434783,0,0.362318841,0.905797101,5.253623188
01/11/2000,DE,0.175746924,0.175746924,0,0,0.351493849,0.878734622,1.58172232,0.702987698,0,0,0.878734622,4.74516696
01/12/2000,DE,0,0.362976407,0.181488203,0,0.181488203,0,2.177858439,1.451905626,0.181488203,0.181488203,1.08892922,5.807622505
01/01/2001,DE,0,0.766283525,0.127713921,0.638569604,0.893997446,0,0.510855683,0.255427842,0,0.127713921,0.893997446,4.214559387
01/02/2001,DE,0,0.099403579,0.198807157,0.298210736,0.198807157,0.099403579,0.298210736,0.198807157,0,0.198807157,0.596421471,2.186878728
01/03/2001,DE,0,0.619578686,0,0.123915737,0.495662949,0.123915737,0.619578686,0.247831475,0.123915737,0,0.619578686,2.973977695
01/04/2001,DE,0,0.324675325,0.649350649,0.324675325,0.974025974,0,1.298701299,2.597402597,0,0,0.649350649,6.818181818
01/05/2001,DE,0,0.115207373,0.460829493,0.230414747,1.382488479,0.230414747,0.460829493,0.230414747,0,0,0.34562212,3.456221198
01/06/2001,DE,0.126742712,0.126742712,0.633713561,0,1.267427123,0,0.760456274,0.633713561,0.126742712,0,0.506970849,4.182509506
01/07/2001,DE,0,0,0.123915737,0,0.619578686,0.123915737,0.495662949,1.734820322,0.123915737,0,0.123915737,3.345724907
01/08/2001,DE,0,0,0.15503876,0,0.310077519,0,0.15503876,0.310077519,0.465116279,0.15503876,0.775193798,2.325581395
01/09/2001,DE,17.08766716,0.14858841,0.29717682,0.14858841,1.188707281,0,0.742942051,0.14858841,0,0,0.742942051,20.50520059
01/10/2001,DE,9.511228534,1.05680317,0,0,0.660501982,0,0.396301189,0.924702774,0,0,1.981505945,14.53104359
01/11/2001,DE,3.101736973,0.372208437,0.248138958,0.248138958,2.357320099,0,1.240694789,0.744416873,0,0,2.23325062,10.54590571
01/12/2001,DE,1.803051318,0.27739251,0.693481276,0.27739251,0.832177531,0,1.525658807,0.970873786,0,0,1.664355062,8.044382802
